战争机器 / War Machine,战争机器,6.0,2359,大卫·米奇欧德,大卫·米奇欧德/迈克尔·黑斯廷斯,布拉德·皮特/安东尼·海斯/约翰·马加罗/安东尼·迈克尔·豪尔/艾莫里·科恩/托弗·戈瑞斯/丹尼尔·贝茨/艾蒙·汉道奇/RJ·赛勒/阿兰·卢克/尼古拉斯·琼斯/威尔·保尔特/勒凯斯·斯坦菲尔德/本·金斯利/梅格·提利/蒂尔达·斯文顿,剧情/喜剧/战争,美国,2017-05-26(美国),121分钟
加勒比海盗3：世界的尽头 / Pirates of the Caribbean: At World's End,加勒比海盗3：世界的尽头,8.0,175078,戈尔·维宾斯基,Ted Elliott/特里·鲁西奥,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/周润发/比尔·奈伊,动作/奇幻/冒险,美国,2007-06-12(中国大陆)/2007-05-25(美国),169分钟
恶魔蛙男 / ミュージアム,恶魔蛙男,6.5,4548,大友启史,大友启史/高桥泉/藤井清美/巴亮介,小栗旬/尾野真千子/野村周平/大森南朋/丸山智己/伊武雅刀/田畑智子/市川实日子/松重丰/妻夫木聪,剧情/惊悚/犯罪,日本,2016-10-08(釜山电影节)/2016-11-12(日本),132分钟
冰冷热带鱼 / 冷たい熱帯魚,冰冷热带鱼,7.5,15714,园子温,园子温,吹越满/黑泽明日香/神乐坂惠/绪方义博/芦川诚/尾原光/三浦诚己/渡边哲,剧情/惊悚/恐怖,日本,2010-09-07(威尼斯电影节)/2011-01-29(日本),146分钟
加勒比海盗2：聚魂棺 / Pirates of the Caribbean: Dead Man's Chest,加勒比海盗2：聚魂棺,8.1,186875,戈尔·维宾斯基,Ted Elliott/特里·鲁西奥/Stuart Beattie/Jay Wolpert,约翰尼·德普/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/比尔·奈伊/乔纳森·普雷斯,动作/奇幻/冒险,美国,2006-07-07(美国),151 分钟
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗,8.6,323435,戈尔·维宾斯基,泰德·艾略特/特里·鲁西奥/斯图尔特·贝亚蒂耶/Jay Wolpert,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/乔纳森·普雷斯,动作/奇幻/冒险,美国,2003-11-21(中国大陆)/2003-07-09(美国),143 分钟
愤怒的公牛 / Raging Bull,愤怒的公牛,8.3,27835,马丁·斯科塞斯,马丁·斯科塞斯/保罗·施拉德,罗伯特·德尼罗/凯西·莫拉蒂/乔·佩西/弗兰克·文森特/特雷萨·萨尔达娜/尼可拉斯·科拉山多/Mario Gallo/Frank Adonis/查尔斯·斯科西斯,剧情/传记/运动,美国,1980-11-14,129 分钟
非常主播 / 과속스캔들,非常主播,7.9,122152,姜炯哲,姜炯哲,车太贤/朴宝英/王晳铉/宋河波/黄雨瑟惠,剧情/喜剧/音乐,韩国,2009-10-09(中国大陆)/2008-12-03(韩国),108 分钟
降临 / Arrival,降临,7.7,173952,丹尼斯·维伦纽瓦,埃里克·海瑟尔/特德·姜,艾米·亚当斯/杰瑞米·雷纳/福里斯特·惠特克/迈克尔·斯图巴/马志/马克·奥布莱恩/乔·柯布登/派特·凯利/娜塔莉·希波蒂/袁罗素/克里斯蒂安· 杰达/朱利安·凯西,剧情/科幻,美国,2017-01-20(中国大陆)/2016-09-01(威尼斯电影节)/2016-11-11(美国),116分钟
美女与野兽 / Beauty and the Beast,美女与野兽,7.3,136065,比尔·康顿,斯蒂芬·切波斯基/埃文·斯彼里奥托普洛斯/琳达·伍尔芙顿/珍妮-玛丽·勒普兰斯·德博蒙,艾玛·沃森/丹·史蒂文斯/卢克·伊万斯/凯文·克莱恩/乔什·加德/伊万·麦克格雷格/伊恩·麦克莱恩/艾玛·汤普森/斯坦利·图齐/古古·姆巴塔-劳/奥德拉·麦克唐纳/内森·麦克/哈蒂·莫拉汉/迈克尔·吉普森/水野索诺娅/亨利·加勒特/戴尔·布兰斯顿,爱情/歌舞/奇幻,美国,2017-03-17(中国大陆/美国),129分钟
夜色人生 / Live by Night,夜色人生,6.4,3518,本·阿弗莱克,本·阿弗莱克/丹尼斯·勒翰,本·阿弗莱克/艾丽·范宁/来默·吉罗内/布莱丹·格里森/罗伯特·格林尼斯特/马修·马希尔/克里斯·梅西纳/西耶娜·米勒/佐伊·索尔达娜/克里斯·库珀/提图斯·维里沃/马克斯·凯塞拉/克里斯蒂安·克莱门松/J·D·埃弗摩尔,剧情/犯罪,美国,2016-12-25(美国),129分钟
